Periodos,PIB
1980/01,7547882.144
1980/02,7536518.992
1980/03,7478780.82
1980/04,8008666.64
1981/01,8229212.702
1981/02,8417818.004
1981/03,8211045.527
1981/04,8614524.865
1982/01,8512096.4
1982/02,8481760.759
1982/03,8198953.899
1982/04,8277251.689
1983/01,8120479.85
1983/02,7997531.117
1983/03,7764430.844
1983/04,8127328.588
1984/01,8384896.23
1984/02,8232124.573
1984/03,8119301.524
1984/04,8389536.374
1985/01,8539105.041
1985/02,8487030.468
1985/03,8193121.959
1985/04,8528896.049
1986/01,8208491.352
1986/02,8409218.652
1986/03,7769449.783
1986/04,8109501.791
1987/01,8119219.038
1987/02,8443175.116
1987/03,8038083.561
1987/04,8568977.287
1988/01,8378163.162
1988/02,8546889.028
1988/03,8031742.408
1988/04,8636950.844
1989/01,8575114.059
1989/02,8912465.891
1989/03,8452556.703
1989/04,8881444.762
1990/01,8964419.624
1990/02,9262515.905
1990/03,8885511.844
1990/04,9522792.509
1991/01,9268190.329
1991/02,9775235.335
1991/03,9176389.016
1991/04,9894608.989
1992/01,9701986.33
1992/02,9986417.75
1992/03,9607923.069
1992/04,10155182.26
1993/01,10008894.66
1993/02,10171035.41
1993/03,10066258.41
1993/04,10416096.23
1994/01,10343388.49
1994/02,10772526.23
1994/03,10602752.89
1994/04,10952773.4
1995/01,10189745.48
1995/02,9795718.997
1995/03,9802904.372
1995/04,10198513.3
1996/01,10426430.91
1996/02,10569227.51
1996/03,10583112.1
1996/04,11116526.6
1997/01,10862932.04
1997/02,11460068.1
1997/03,11408200.83
1997/04,11887380.08
1998/01,11827638.01
1998/02,12034464.21
1998/03,11972371.61
1998/04,12139816.61
1999/01,12100154.55
1999/02,12315219.08
1999/03,12325229.13
1999/04,12554685.79
2000/01,12725022.06
2000/02,12994568.9
2000/03,13008792.24
2000/04,13003302.16
2001/01,12796119.5
2001/02,12967530.19
2001/03,12857408.65
2001/04,12901429.21
2002/01,12415541.45
2002/02,13112362.76
2002/03,12889950.08
2002/04,13084104.38
2003/01,12803323.71
2003/02,13182930.05
2003/03,12954912.94
2003/04,13305707.39
2004/01,13252629.59
2004/02,13732336
2004/03,13438260.1
2004/04,13872034.55
2005/01,13354787.89
2005/02,14104833.95
2005/03,13782144.43
2005/04,14306523.81
2006/01,14107960.05
2006/02,14700503.92
2006/03,14435867.7
2006/04,14800897.33
2007/01,14393727.36
2007/02,14993339.38
2007/03,14783298.24
2007/04,15204938.92
2008/01,14563428.41
2008/02,15386334.07
2008/03,14979494.72
2008/04,15125053.53
2009/01,13752148.75
2009/02,14012937.53
2009/03,14231941.43
2009/04,14882965.8
2010/01,14371721.28
2010/02,14998399.43
2010/03,14921452.91
2010/04,15499605.16
2011/01,14902733.81
2011/02,15413046.5
2011/03,15526014.89
2011/04,16139539.21
2012/01,15619753.3
2012/02,16027466
2012/03,15952811.19
2012/04,16638864.12
2013/01,15719784.51
2013/02,16361860.91
2013/03,16186108.94
2013/04,16840993.96
2014/01,16162079.48
2014/02,16743455.71
2014/03,16649895.97
2014/04,17408768.86
2015/01,16710181.54
2015/02,17261188.44
2015/03,17331651.61
2015/04,17866410.99
2016/01,17166447.84
2016/02,17781185.23
2016/03,17625653.34
2016/04,18415670.54
2017/01,17757308.37
2017/02,18084569.29
2017/03,17900716.87
2017/04,18746450.75
2018/01,18019698.54
2018/02,18671189.45
2018/03,18405925.46
2018/04,18983362.54
2019/01,18237313.08
2019/02,18461456.68
2019/03,18371468.37
2019/04,18862482.92
2020/01 ,18078352.77
2020/02,15023632.13
2020/03,16825282.57
2020/04,18048458.68
2021/01,17382337.2
2021/02,18013549.79
2021/03,17579754.18
2021/04,18251012.6
2022/01,17699883.76
2022/02,18382118.29
