Periodos,Pasajeros
1995/01,3439
1995/02,2879
1995/03,3103
1995/04,3491
1995/05,3109
1995/06,2966
1995/07,3826
1995/08,2822
1995/09,2840
1995/10,2874
1995/11,2778
1995/12,2807
1996/01,2529
1996/02,2400
1996/03,2638
1996/04,2397
1996/05,2779
1996/06,2595
1996/07,2671
1996/08,2701
1996/09,2572
1996/10,2771
1996/11,2643
1996/12,2676
1997/01,2457
1997/02,2537
1997/03,2726
1997/04,2845
1997/05,3138
1997/06,3100
1997/07,3031
1997/08,3029
1997/09,2904
1997/10,3087
1997/11,2826
1997/12,2926
1998/01,2678
1998/02,2542
1998/03,2856
1998/04,2592
1998/05,2952
1998/06,2784
1998/07,2814
1998/08,2800
1998/09,2638
1998/10,2898
1998/11,2720
1998/12,2661
1999/01,2488
1999/02,2594
1999/03,3104
1999/04,2792
1999/05,3184
1999/06,3038
1999/07,3096
1999/08,3196
1999/09,3069
1999/10,3228
1999/11,3160
1999/12,3128
2000/01,4043
2000/02,4168
2000/03,4392
2000/04,2851
2000/05,3214
2000/06,3050
2000/07,3039
2000/08,3149
2000/09,3042
2000/10,3100
2000/11,3012
2000/12,2987
2001/01,3664
2001/02,3563
2001/03,4186
2001/04,3468
2001/05,4099
2001/06,3866
2001/07,3854
2001/08,3972
2001/09,3800
2001/10,3907
2001/11,2992
2001/12,4085
2002/01,3667
2002/02,3485
2002/03,2889
2002/04,3834
2002/05,4153
2002/06,3945
2002/07,4134
2002/08,4251
2002/09,4121
2002/10,4377
2002/11,4235
2002/12,4673
2003/01,4020
2003/02,3941
2003/03,4593
2003/04,4027
2003/05,4740
2003/06,4407
2003/07,4451
2003/08,4418
2003/09,4128
2003/10,4263
2003/11,4215
2003/12,4475
2004/01,3945
2004/02,3895
2004/03,4552
2004/04,4036
2004/05,4703
2004/06,4425
2004/07,4498
2004/08,4564
2004/09,4579
2004/10,4590
2004/11,4331
2004/12,4302
2005/01,4035
2005/02,3964
2005/03,4340
2005/04,4552
2005/05,4975
2005/06,4629
2005/07,4534
2005/08,5230
2005/09,5171
2005/10,5321
2005/11,5353
2005/12,5183
2006/01,4687
2006/02,4289
2006/03,4966
2006/04,4462
2006/05,5021
2006/06,5025
2006/07,5124
2006/08,5424
2006/09,5190
2006/10,5570
2006/11,5295
2006/12,5222
2007/01,4788
2007/02,4848
2007/03,5648
2007/04,4816
2007/05,5613
2007/06,5322
2007/07,5341
2007/08,5647
2007/09,5547
2007/10,5890
2007/11,6538
2007/12,6021
2008/01,5869
2008/02,6499
2008/03,5801
2008/04,6932
2008/05,6876
2008/06,6530
2008/07,6810
2008/08,7320
2008/09,7264
2008/10,9589
2008/11,9607
2008/12,9251
2009/01,9406
2009/02,9515
2009/03,10599
2009/04,9229
2009/05,11844
2009/06,15598
2009/07,13311
2009/08,11702
2009/09,11321
2009/10,11894
2009/11,11242
2009/12,10959
2010/01,10755.8
2010/02,10978.85
2010/03,12489.28
2010/04,11415.78
2010/05,12284.87
2010/06,11493.64
2010/07,12783.69
2010/08,13305.07
2010/09,12429.99
2010/10,13375.26
2010/11,12820.22
2010/12,12759.3
2011/01,12048.79
2011/02,11537.23
2011/03,13528.53
2011/04,11844.11
2011/05,13242.48
2011/06,12498.23
2011/07,12700.28
2011/08,13466.136
2011/09,12783
2011/10,13505.605
2011/11,13186.92
2011/12,12654.542
2012/01,12230.669
2012/02,12584.268
2012/03,13768.125
2012/04,12086.116
2012/05,13467.212
2012/06,12612.454
2012/07,12927.505
2012/08,14032.58
2012/09,13258.765
2012/10,13923.931
2012/11,13304.979
2012/12,12742.106
2013/01,13092.94
2013/02,13323.887
2013/03,13730.783
2013/04,14028.985
2013/05,14545.998
2013/06,13462.225
2013/07,13859.875
2013/08,14816.789
2013/09,13934.356
2013/10,15368.734
2013/11,14327.196
2013/12,13779.503
2014/01,13200.252
2014/02,13362.031
2014/03,14905.599
2014/04,13624.673
2014/05,14842.56
2014/06,13779.369
2014/07,14299.167
2014/08,15396.858
2014/09,14924.778
2014/10,16215.186
2014/11,15397.533
2014/12,15158.83
2015/01,14600.013
2015/02,14403.692
2015/03,15901.99
2015/04,14786.647
2015/05,15903.983
2015/06,14818.52
2015/07,15214.824
2015/08,15975.143
2015/09,15326.655
2015/10,16191.828
2015/11,15356.413
2015/12,14951.368
2016/01,13925.906
2016/02,14723.523
2016/03,14536.004
2016/04,15387.757
2016/05,15360.752
2016/06,14295.487
2016/07,14557.776
2016/08,16182.244
2016/09,15470.381
2016/10,15995.545
2016/11,15339.581
2016/12,14669.789
2017/01,14537.668
2017/02,14411.051
2017/03,15813.1
2017/04,14137.01
2017/05,15218.327
2017/06,13696.066
2017/07,13923.816
2017/08,15332.604
2017/09,15001.59
2017/10,16019.596
2017/11,15293.468
2017/12,14195.752
2018/01,13529.975
2018/02,14404.827
2018/03,15102.947
2018/04,14991.675
2018/05,15999.968
2018/06,14314.628
2018/07,14527.242
2018/08,16085.637
2018/09,15259.985
2018/10,16491.705
2018/11,15597.934
2018/12,14511.823
2019/01,14534.62
2019/02,14511.121
2019/03,14659.777
2019/04,14826.921
2019/05,16515.394
2019/06,14750.238
2019/07,15431.778
2019/08,17067.167
2019/09,15612.324
2019/10,17534.523
2019/11,16253.617
2019/12,15097.727
2020/01,15220.38
2020/02,15548.331
2020/03,12554.885
2020/04,5653.458
2020/05,4933.483
2020/06,7208.065
2020/07,7101.473
2020/08,7655.957
2020/09,7874.712
2020/10,8857.151
2020/11,8490.08
2020/12,8777.15
2021/01 ,7641.62
2021/02,6874.262
2021/03,8950.847
2021/04,8573.888
2021/05,9143.943
2021/06,9288.288
2021/07,9684.04
2021/08,9150.952
2021/09,9018.166
2021/10,9999.961
2021/11,10429.804
2021/12,10939.398
2022/01,9349.339
2022/02,9713.018
2022/03,12244.681
2022/04,11375.918
2022/05,12471.053
2022/06,11492.391
2022/07,11485.125
